index,content
北京市,"116.4133836971231,39.910924547299565"
上海市,"121.48053886017651,31.235929042252014"
天津市,"117.2080927529767,39.09110259843554"
重庆市,"106.55843415537664,29.568996245338923"
石家庄市,"114.52153190157445,38.0483119268727"
唐山市,"118.18645947203979,39.63658372414733"
秦皇岛市,"119.5259671942601,39.89472719832739"
邯郸市,"114.5456282282352,36.631262731204046"
邢台市,"114.51146225612979,37.07668595096609"
保定市,"115.47146383768579,38.87998776845534"
张家口市,"114.89257223145165,40.7732372026915"
承德市,"117.96939750996681,40.95785601233803"
沧州市,"116.84558075595014,38.310215141107044"
廊坊市,"116.69058173342549,39.54336666275853"
衡水市,"115.6754061376161,37.745191408077424"
太原市,"112.55639149167204,37.87698902884778"
大同市,"113.37334499999993,40.102784060617616"
阳泉市,"113.58761666287546,37.862360847859385"
长治市,"113.12255886984902,36.2012683721548"
晋城市,"112.85857823132879,35.49628458647257"
朔州市,"112.4393709396677,39.337108370541735"
晋中市,"112.75959475565928,37.69283940975972"
运城市,"111.01338945447925,35.03270691290923"
忻州市,"112.74062416023847,38.42238338517772"
临汾市,"111.52553022403073,36.093741895419726"
吕梁市,"111.15044967529185,37.524497749577115"
呼和浩特市,"111.75550856170946,40.84842299711348"
包头市,"109.95979863201062,40.62714122474678"
乌海市,"106.80039104999656,39.6620063648907"
赤峰市,"118.8955203975195,42.2616861034116"
通辽市,"122.25052178737633,43.657980083916655"
鄂尔多斯市,"109.78744317923602,39.61448231394889"
呼伦贝尔市,"119.78486907317954,49.172732795190655"
巴彦淖尔市,"107.39439808372491,40.7493594895728"
乌兰察布市,"113.13946767446333,41.00074832767381"
沈阳市,"123.47109664482264,41.68383006919066"
大连市,"121.62163148459285,38.9189536667856"
鞍山市,"123.00137251399407,41.11505359694933"
抚顺市,"123.9643746156145,41.88596959305694"
本溪市,"123.69250712420832,41.49291646055291"
丹东市,"124.36154728159079,40.00640870559368"
锦州市,"121.13259630055518,41.10093149946208"
营口市,"122.22579880279181,40.63070304275062"
阜新市,"121.67640799865809,42.02802190131842"
辽阳市,"123.24336640651318,41.27416129045421"
盘锦市,"122.1771181899173,40.72579099974712"
铁岭市,"123.73236520917769,42.22994799718447"
朝阳市,"120.45749949793277,41.57982086475567"
葫芦岛市,"120.8433983399283,40.71736443636189"
长春市,"125.3306020759069,43.82195350104314"
吉林市,"126.55563450495482,43.84356783457924"
四平市,"124.35648155715893,43.171993571561"
辽源市,"125.15042516688747,42.89405500574631"
通化市,"125.94660627598029,41.733815801613424"
白山市,"126.42108639550088,41.94988401959104"
松原市,"124.83148187569292,45.14740419341382"
白城市,"122.8455906084976,45.62550435999602"
哈尔滨市,"126.54161509031663,45.808825827952184"
齐齐哈尔市,"123.92457086841536,47.3599771860153"
鸡西市,"130.97561865876668,45.300872317823895"
鹤岗市,"130.3044328986694,47.35605615768509"
双鸭山市,"131.14797357255904,46.68238905377044"
大庆市,"125.10865763402039,46.59363317672175"
伊春市,"128.84754638019822,47.733318457230936"
佳木斯市,"130.327359092573,46.80568999085779"
七台河市,"131.01154459102744,45.77630032154785"
牡丹江市,"129.6395397783469,44.55624570898632"
黑河市,"127.53548988621854,50.25127231175015"
绥化市,"126.97535687530133,46.6600321798244"
南京市,"118.80242172124585,32.06465288561847"
无锡市,"120.31858328810601,31.498809732685714"
徐州市,"117.29057543439453,34.21266655011306"
常州市,"119.98148471327892,31.815795653327836"
苏州市,"120.59241222959322,31.303564074441766"
南通市,"120.90159173866185,31.98654943120089"
连云港市,"119.22862133316607,34.60224952526725"
淮安市,"119.11976413248364,33.55666778025387"
盐城市,"120.167544265761,33.355100917626196"
扬州市,"119.41941890822997,32.40067693609037"
镇江市,"119.43048944567383,32.19471592052375"
泰州市,"119.9295663378548,32.4606750493083"
宿迁市,"118.28157403570837,33.96774971569008"
杭州市,"120.21551180372168,30.25308298169347"
宁波市,"121.63084278185603,29.866068124069646"
温州市,"120.70647689035565,28.00108540447221"
嘉兴市,"120.76355182586005,30.750974830920143"
湖州市,"120.09451660915789,30.898963937294184"
绍兴市,"120.59002264710614,30.057657361054257"
金华市,"119.65343619052916,29.084639385513697"
衢州市,"118.86659674035565,28.975545802265025"
舟山市,"122.21355631852045,29.99091168016034"
台州市,"121.42743470427969,28.66219405599615"
丽水市,"119.9295730584414,28.473278180563412"
合肥市,"117.23344266497664,31.826577833686887"
芜湖市,"118.43943137653523,31.358536655799266"
蚌埠市,"117.39551332813694,32.921523704350825"
淮南市,"117.00638885071616,32.63184739905333"
马鞍山市,"118.5135795794315,31.676265597609103"
淮北市,"116.8045372670298,33.96165630027632"
铜陵市,"117.81847679445747,30.95123323991339"
安庆市,"117.1212827542562,30.53922247681024"
黄山市,"118.34543725314781,29.721889786591692"
阜阳市,"115.82043612491321,32.89606099485221"
宿州市,"116.97054394561262,33.65209532645213"
滁州市,"118.33940613596579,32.26127087204081"
六安市,"116.52640966418569,31.741450815322555"
宣城市,"118.76553424276743,30.94660154529291"
池州市,"117.50208200570214,30.68054196371511"
亳州市,"115.7844632112745,33.850642695788835"
福州市,"119.30346983854001,26.080429420698078"
厦门市,"118.09643549976651,24.485406605176305"
莆田市,"119.0145209781265,25.45986545592271"
三明市,"117.64552116782143,26.269736515991838"
泉州市,"118.68244626680422,24.879952330498313"
漳州市,"117.65357645298785,24.51892979117087"
南平市,"118.08735102597767,27.389104987898513"
龙岩市,"117.02344756677536,25.081219844871676"
宁德市,"119.55451074542829,26.672241711408567"
南昌市,"115.86458944231661,28.68945529506072"
景德镇市,"117.18457644638579,29.274247711040953"
萍乡市,"113.89369655407103,27.664752547951164"
九江市,"115.96066124030492,29.666660847999456"
新余市,"114.9235346513963,27.823578697788587"
鹰潭市,"117.0755754270272,28.265787063191418"
赣州市,"114.9405033729825,25.835176103497655"
吉安市,"115.00051072001253,27.119726826070448"
宜春市,"114.4235636759064,27.820856421848216"
抚州市,"116.36453876864373,27.954892253419565"
上饶市,"117.94945960312224,28.460625921851733"
济南市,"117.12639941261048,36.65655420178723"
青岛市,"120.38945519114627,36.072227496663224"
淄博市,"118.06145253489896,36.81908568332188"
枣庄市,"117.33054194483897,34.815994048435115"
东营市,"118.68138493513693,37.43964182632334"
烟台市,"121.45441541730195,37.470038383730525"
潍坊市,"119.16837791142822,36.71265155126753"
济宁市,"116.59361234853988,35.420177394529645"
泰安市,"117.0944948347959,36.2058580448846"
威海市,"122.12754097831325,37.5164305480148"
日照市,"119.53341540456555,35.42283899843767"
临沂市,"118.36353300501388,35.11067124236514"
德州市,"116.36555674397471,37.441308454576266"
聊城市,"115.99158784830443,36.46275818769411"
滨州市,"117.9774040171467,37.3881961960769"
菏泽市,"115.48754503343376,35.23940742476551"
郑州市,"113.63141920733915,34.75343885045448"
开封市,"114.32076511162192,34.80401391129182"
洛阳市,"112.4594212983115,34.62426277921943"
平顶山市,"113.19952856052156,33.772050748691015"
安阳市,"114.39950042177432,36.10594098401491"
鹤壁市,"114.30359364247649,35.7523574114"
新乡市,"113.81159378076424,35.19656440899276"
焦作市,"113.24854783457334,35.22096325403899"
濮阳市,"115.03559747034215,35.76759302890629"
许昌市,"113.85847553685502,34.04143161161871"
漯河市,"114.02342077764726,33.5877107071022"
三门峡市,"111.2065332238741,34.778327249459984"
南阳市,"112.53450131351325,32.99656220465144"
商丘市,"115.66244933826238,34.4202016658586"
信阳市,"114.09748283304512,32.15301454753105"
周口市,"114.7079826661061,33.643083575264406"
驻马店市,"114.02847078173271,33.01784241674367"
武汉市,"114.31158155473231,30.598466736400987"
黄石市,"115.04553290894361,30.205207848941598"
十堰市,"110.80452956069568,32.63506185840116"
宜昌市,"111.29254921035434,30.697446484492378"
襄阳市,"112.12853720100244,32.014796804669224"
鄂州市,"114.90160738827099,30.39657217331699"
荆门市,"112.20639298023002,31.041732575569622"
孝感市,"113.96346265773938,30.924526261070227"
荆州市,"112.24552262926137,30.340842107742912"
黄冈市,"114.87849048410779,30.4593588576181"
咸宁市,"114.32851909026844,29.847055947646492"
随州市,"113.38945001822157,31.6965167723283"
长沙市,"112.94547319535287,28.23488939994364"
株洲市,"113.14047079776427,27.833567639016444"
湘潭市,"112.95046418076468,27.835702227135585"
衡阳市,"112.57844721325992,26.899576139189122"
邵阳市,"111.474432885931,27.245270272808565"
岳阳市,"113.13548942422142,29.3631782939259"
常德市,"111.70545217995837,29.037749999406877"
张家界市,"110.48553254695402,29.122815562551878"
益阳市,"112.36151595471031,28.559711178489888"
郴州市,"113.02146049909462,25.776683273601865"
永州市,"111.61945505792227,26.425864117900094"
怀化市,"110.00851426537254,27.575160902978517"
娄底市,"112.00150349288418,27.703208596991583"
广州市,"113.27143134445974,23.135336306695006"
韶关市,"113.60352734562261,24.815881278583017"
深圳市,"114.06455183658751,22.548456637984177"
珠海市,"113.58255478654918,22.27656465424921"
汕头市,"116.68852864054833,23.35909171772515"
佛山市,"113.12851219549718,23.02775875078891"
江门市,"113.08855619524043,22.584603880965"
湛江市,"110.36555441392824,21.276723439012073"
茂名市,"110.931542579969,21.669064031332095"
肇庆市,"112.47148894063035,23.052888771125616"
惠州市,"114.4235580165817,23.116358854725593"
梅州市,"116.12953737612247,24.294177532206206"
汕尾市,"115.38155260365083,22.79126303654673"
河源市,"114.70744627290641,23.749684370959752"
阳江市,"111.98848929181268,21.864339726138933"
清远市,"113.06246832527266,23.688230292088083"
东莞市,"113.75842045787648,23.02730841164339"
中山市,"113.39942236263188,22.5223146707905"
潮州市,"116.62947017362819,23.662623192615886"
揭阳市,"116.37851218033846,23.555740488275585"
云浮市,"112.05151269959146,22.920911970342857"
南宁市,"108.37345082581861,22.822606601187154"
柳州市,"109.43442194634564,24.331961386852413"
桂林市,"110.18619487315159,25.24169878354397"
梧州市,"111.28551681182014,23.48274528113516"
北海市,"109.126533212566,21.48683649576942"
防城港市,"108.360418838298,21.6930052899694"
钦州市,"108.66058016842224,21.986593539484296"
贵港市,"109.60552031033306,23.117448382037534"
玉林市,"110.1884531233724,22.659830509953142"
百色市,"106.62458932565383,23.908185934295958"
贺州市,"111.57352631416218,24.409450902865487"
河池市,"108.64310866524227,24.491714255143005"
来宾市,"109.22745819590091,23.75654676260728"
崇左市,"107.3715202061015,22.383117234663302"
海口市,"110.2067198964201,20.052113086180366"
三亚市,"109.51855670139908,18.258736291747855"
三沙市,"112.34048204137058,16.838953334409123"
儋州市,"109.58745583568611,19.527146110044196"
成都市,"104.07274727406208,30.578993724029967"
自贡市,"104.78444884671711,29.345584921327575"
攀枝花市,"101.72554117091441,26.58803317333301"
泸州市,"105.4485240693266,28.87766830360723"
德阳市,"104.40441936496448,31.133115003656755"
绵阳市,"104.6855618607612,31.473663048745863"
广元市,"105.85042318166482,32.44161630531542"
遂宁市,"105.5994215306444,30.53909767110912"
内江市,"105.06458802499718,29.58588653832045"
乐山市,"103.7725376036347,29.55794071745811"
南充市,"106.11750261487227,30.843782508337036"
眉山市,"103.85656331579456,30.082526119421058"
宜宾市,"104.6494037048691,28.75800702855183"
广安市,"106.63955268233484,30.461746110678995"
达州市,"107.47459385897544,31.214307723927455"
雅安市,"103.04954262360451,30.01679254570607"
巴中市,"106.7515853031645,31.872888585956545"
资阳市,"104.6344353416441,30.13495655925314"
贵阳市,"106.63657676352776,26.653324822309752"
六盘水市,"104.8375546023468,26.598833108257494"
遵义市,"107.03792295677086,27.728325334416603"
安顺市,"105.95441712388904,26.25925237871499"
毕节市,"105.2985887950112,27.29021508342595"
铜仁市,"109.19643889817665,27.73778645640524"
昆明市,"102.83944512326053,24.886272111644136"
曲靖市,"103.80243482794681,25.496406931543667"
玉溪市,"102.55356029311,24.35771094244625"
保山市,"99.16801175601306,25.11785803166449"
昭通市,"103.72351177196889,27.34408386024681"
丽江市,"100.23246452903453,26.860657438064884"
普洱市,"100.97256981472799,22.830979186010275"
临沧市,"100.09544042014869,23.89046855627851"
拉萨市,"91.17845425628477,29.65948787983075"
日喀则市,"88.89370303482552,29.275657822511512"
昌都市,"97.17733324895293,31.148661810810207"
林芝市,"94.36805828713257,29.654042176951524"
山南市,"91.77867513851903,29.243026939249226"
那曲市,"92.0573384981749,31.482438388454657"
西安市,"108.94646555063274,34.34726881662395"
铜川市,"108.95240424835922,34.902637080502906"
宝鸡市,"107.2445753670404,34.36891564286998"
咸阳市,"108.71542245143303,34.335476293368586"
渭南市,"109.51658960525897,34.50571551675255"
延安市,"109.50118366576285,36.656089661066176"
汉中市,"107.02943020926463,33.073799907833795"
榆林市,"109.74161603381395,38.290883835484046"
安康市,"109.03560108265746,32.69051277057377"
商洛市,"109.92441788136406,33.87863385220776"
兰州市,"103.84052119633628,36.067234693545565"
嘉峪关市,"98.29620384300111,39.77796014739059"
金昌市,"102.19460568669837,38.52582009209263"
白银市,"104.1444508283435,36.55082533041454"
天水市,"105.73141674566955,34.58741188165064"
武威市,"102.64455434036918,37.93437780815811"
张掖市,"100.45641147405634,38.932066007004934"
平凉市,"106.67144234827796,35.549232050463516"
酒泉市,"98.50068521606795,39.73846908071564"
庆阳市,"107.6493856959542,35.71521598356201"
定西市,"104.63242008306302,35.586832926561875"
陇南市,"104.9668643447692,33.37603215910919"
西宁市,"101.78445017050855,36.62338469651661"
海东市,"102.41503557578936,36.48017021268231"
银川市,"106.23849358740017,38.492460055509596"
石嘴山市,"106.3906004255049,38.98968283991508"
吴忠市,"106.20537126663626,38.00371291345338"
固原市,"106.24857742607188,36.02161725801098"
中卫市,"105.20357090088713,37.50570141870293"
乌鲁木齐市,"87.62443993536046,43.830763204290484"
克拉玛依市,"84.89590053887504,45.58567523781376"
吐鲁番市,"89.1972972460079,42.95698484877124"
哈密市,"93.52121554028504,42.82582436811265"
